player_id,player_name,primary_team,condition,off_appearances,on_appearances,off_minutes,on_minutes,off_xgi_per90,on_xgi_per90,off_goal_involvements_per90,on_goal_involvements_per90,off_team_points,on_team_points,sample_balance
8717,Pascal Struijk,Leeds United,cold,34,51,2459.0,3883.0,0.12823787842047385,0.11298282744956327,0.10980073200488003,0.04635591037857327,0.8823529411764706,1.3137254901960784,0.6332732423383981
8718,Stuart Dallas,Leeds United,rain,19,53,1710.0,4631.0,0.13666189055105568,0.1780230266367242,0.052631578947368425,0.2137767220902613,1.105263157894737,1.3584905660377358,0.3692507017922695
8718,Stuart Dallas,Leeds United,cold,17,55,1512.0,4829.0,0.13958590387898895,0.17541159298652798,0.11904761904761904,0.18637399047421824,1.0,1.3818181818181818,0.3131083039966867
8719,Kalvin Phillips,Leeds United,rain,24,49,1436.0,3230.0,0.21953935012439246,0.07320882771567844,0.06267409470752089,0.08359133126934984,1.7916666666666667,1.6122448979591837,0.44458204334365325
8719,Kalvin Phillips,Leeds United,cold,28,45,1735.0,2931.0,0.06550703611579163,0.14946035914001035,0.1037463976945245,0.061412487205731836,1.5,1.7777777777777777,0.5919481405663596
8720,Jack Harrison,Leeds United,rain,39,97,3090.0,7463.0,0.4408601206248101,0.3107259892706942,0.4368932038834951,0.3376658180356425,1.2820512820512822,1.1030927835051547,0.41404261021037114
8720,Jack Harrison,Leeds United,cold,43,93,3143.0,7410.0,0.26857786842408804,0.3828698502295473,0.3436207445116131,0.3765182186234818,0.9069767441860465,1.2688172043010753,0.4241565452091768
8721,Jamie Shackleton,Leeds United,rain,6,21,191.0,947.0,0.06778983643073683,0.014982396213548235,0.0,0.0,0.5,1.2857142857142858,0.2016895459345301
8721,Jamie Shackleton,Leeds United,cold,11,16,554.0,584.0,0.02027275983835923,0.027234724352825177,0.0,0.0,1.0,1.1875,0.9486301369863014
8722,Ezgjan Alioski,Leeds United,rain,10,26,632.0,1843.0,0.08829592397035672,0.21776434818886084,0.0,0.24416711882799783,1.1,1.8461538461538463,0.34291915355398805
8722,Ezgjan Alioski,Leeds United,cold,4,32,163.0,2312.0,0.5242804770409328,0.16076340826283042,0.0,0.19463667820069205,1.75,1.625,0.07050173010380623
8756,Dara O&#039;Shea,Burnley,rain,19,42,1555.0,3442.0,0.04936000232815357,0.04922199659893707,0.11575562700964631,0.13073794305636258,0.8947368421052632,0.5238095238095238,0.4517722254503196
8756,Dara O&#039;Shea,Burnley,cold,17,44,1430.0,3567.0,0.02041772710667413,0.06082970735948308,0.1258741258741259,0.1261564339781329,0.11764705882352941,0.8409090909090909,0.40089711241940007
8757,Romaine Sawyers,West Bromwich Albion,rain,3,16,238.0,1257.0,0.0,0.05958447495124217,0.0,0.0,0.3333333333333333,0.5625,0.18933969769291964
8757,Romaine Sawyers,West Bromwich Albion,cold,6,13,369.0,1126.0,0.011321000027947269,0.06280660391065618,0.0,0.0,0.16666666666666666,0.6923076923076923,0.327708703374778
8776,Wes Foderingham,Sheffield United,rain,12,18,1024.0,1620.0,0.005716780797229146,0.0,0.0,0.0,0.08333333333333333,0.6666666666666666,0.6320987654320988
8776,Wes Foderingham,Sheffield United,cold,13,17,1170.0,1474.0,0.0050034047319338845,0.0,0.0,0.0,0.07692307692307693,0.7058823529411765,0.7937584803256446
8777,Vitinha,Wolverhampton Wanderers,rain,5,14,44.0,456.0,0.27852094986221987,0.24648947512583894,2.0454545454545454,0.0,2.0,0.6428571428571429,0.09649122807017543
