date,home_team,away_team,scenario,predicted_total_goals,predicted_result,predicted_result_label,home_win_probability,draw_probability,away_win_probability
2024-05-06,Crystal Palace,Manchester United,heavy_rain,3.1628534296377575,draw,Draw,0.3149883438389755,0.46985729869446685,0.21515435746655776
2024-05-06,Crystal Palace,Manchester United,extreme_cold,3.1135126474606203,win,Home Win,0.44066771503528523,0.3090206654995564,0.2503116194651583
2024-05-05,Liverpool,Tottenham Hotspur,normal_day,2.645964917131421,win,Home Win,0.5256194986289033,0.32089592301908576,0.15348457835201096
2024-05-05,Liverpool,Tottenham Hotspur,heavy_rain,2.729205929866314,draw,Draw,0.31161413513101277,0.45390891438293157,0.23447695048605569
2024-05-05,Liverpool,Tottenham Hotspur,extreme_cold,2.586946148038779,win,Home Win,0.432800578397812,0.296376790253576,0.270822631348612
2024-05-05,Chelsea,West Ham United,normal_day,2.8039128609600943,win,Home Win,0.5811750145642409,0.3064063931631446,0.1124185922726146
2024-05-05,Chelsea,West Ham United,heavy_rain,2.999049235713254,draw,Draw,0.3627973559193384,0.4563665780585224,0.1808360660221393
2024-05-05,Chelsea,West Ham United,extreme_cold,2.772513555056693,win,Home Win,0.4985359162437346,0.2948159428810045,0.20664814087526087
2024-05-05,Brighton,Aston Villa,normal_day,2.6532760895052987,draw,Draw,0.2808897224025495,0.4030113387113441,0.3160989388861064
2024-05-05,Brighton,Aston Villa,heavy_rain,2.5451619015320293,draw,Draw,0.1365537794595467,0.4674594802044836,0.3959867403359697
2024-05-05,Brighton,Aston Villa,extreme_cold,2.656189758969849,loss,Away Win,0.19916943672712356,0.3205293017572759,0.48030126151560054
2024-05-04,Arsenal,Bournemouth,normal_day,3.0490066281254755,win,Home Win,0.6222966675742125,0.2832289069670045,0.09447442545878307
2024-05-04,Arsenal,Bournemouth,heavy_rain,3.1433326333431744,draw,Draw,0.4036930392577058,0.4383794554337974,0.15792750530849672
2024-05-04,Arsenal,Bournemouth,extreme_cold,3.1014680503499346,win,Home Win,0.5447107370602676,0.2780799412532632,0.17720932168646925
2024-05-04,Sheffield United,Nottingham Forest,normal_day,2.6322547281343995,draw,Draw,0.34643125046743906,0.39854966430497224,0.25501908522758876
2024-05-04,Sheffield United,Nottingham Forest,heavy_rain,2.595067038204349,draw,Draw,0.17724872901348473,0.486527448159329,0.3362238228271864
2024-05-04,Sheffield United,Nottingham Forest,extreme_cold,2.5980001010839437,loss,Away Win,0.2585397040608126,0.33362321228185154,0.4078370836573358
2024-05-04,Manchester City,Wolverhampton Wanderers,normal_day,3.051523631321746,win,Home Win,0.7612288740446767,0.19552526929330197,0.043245856662021374
2024-05-04,Manchester City,Wolverhampton Wanderers,heavy_rain,3.380036822852444,win,Home Win,0.5684299708466678,0.3483561151607064,0.08321391399262569
2024-05-04,Manchester City,Wolverhampton Wanderers,extreme_cold,3.1866174389622497,win,Home Win,0.7092977022707445,0.20435243578746334,0.08634986194179205
2024-05-04,Burnley,Newcastle United,normal_day,2.992731624888643,win,Home Win,0.3943348728768719,0.3756032935504824,0.23006183357264567
2024-05-04,Burnley,Newcastle United,heavy_rain,2.9778291516220596,draw,Draw,0.2093810497963988,0.4758394118298552,0.314779538373746
2024-05-04,Burnley,Newcastle United,extreme_cold,3.0357016677293633,loss,Away Win,0.30133226012679476,0.3219389041394633,0.37672883573374194
2024-05-04,Brentford,Fulham,normal_day,2.806012838144309,win,Home Win,0.6098516269931394,0.27917941427847415,0.11096895872838645
2024-05-04,Brentford,Fulham,heavy_rain,3.0316519387581398,draw,Draw,0.39045331234384945,0.42646868511830904,0.18307800253784154
2024-05-04,Brentford,Fulham,extreme_cold,2.8361256941085915,win,Home Win,0.5253744710109127,0.2697688476312627,0.20485668135782464
2024-05-03,Luton Town,Everton,normal_day,2.8320628682131166,draw,Draw,0.30917536276933644,0.4460225628064738,0.2448020744241898
2024-05-03,Luton Town,Everton,heavy_rain,2.693618311241088,draw,Draw,0.154265587482744,0.530982047578688,0.314752364938568
2024-05-03,Luton Town,Everton,extreme_cold,2.9146275944306224,loss,Away Win,0.23175651939705905,0.37501404713249836,0.39322943347044254
2024-05-02,Chelsea,Tottenham Hotspur,normal_day,2.887134664211395,win,Home Win,0.5310483780335509,0.34517456414668,0.12377705781976907
2024-05-02,Chelsea,Tottenham Hotspur,heavy_rain,2.9279206245413136,draw,Draw,0.31731504684527617,0.49210094119053577,0.19058401196418792
2024-05-02,Chelsea,Tottenham Hotspur,extreme_cold,2.8405317703817192,win,Home Win,0.44872446569299823,0.32715086549637185,0.22412466881063
2024-04-28,Tottenham Hotspur,Arsenal,normal_day,2.9672796234805263,draw,Draw,0.2819959857282231,0.42754633576767087,0.2904576785041061
2024-04-28,Tottenham Hotspur,Arsenal,heavy_rain,2.8617049324689745,draw,Draw,0.13752137258459426,0.4974727445807507,0.3650058828346552
2024-04-28,Tottenham Hotspur,Arsenal,extreme_cold,2.9848725160782643,loss,Away Win,0.20375656437970024,0.34650978088931383,0.4497336547309859
2024-04-28,Nottingham Forest,Manchester City,normal_day,3.050822127028833,draw,Draw,0.24102471140953013,0.42002403279556394,0.33895125579490576
2024-04-28,Nottingham Forest,Manchester City,heavy_rain,2.97511122222035,draw,Draw,0.11387336764916035,0.4734711967069088,0.41265543564393076
2024-04-28,Nottingham Forest,Manchester City,extreme_cold,3.026088009997808,loss,Away Win,0.16755358030323927,0.32751402872407465,0.504932390972686
2024-04-28,Bournemouth,Brighton,normal_day,2.7104253160460376,win,Home Win,0.594267960044265,0.287254053324047,0.11847798663168792
2024-04-28,Bournemouth,Brighton,heavy_rain,2.8241729069861337,draw,Draw,0.3749470799827009,0.4324268540354353,0.1926260659818638
2024-04-28,Bournemouth,Brighton,extreme_cold,2.7548174133505676,win,Home Win,0.5077656498723317,0.2753029045643322,0.2169314455633361
2024-04-27,Wolverhampton Wanderers,Luton Town,normal_day,2.597269988230925,win,Home Win,0.5209679000131788,0.3187544606357461,0.1602776393510751
2024-04-27,Wolverhampton Wanderers,Luton Town,heavy_rain,2.7049693834593915,draw,Draw,0.30744498626921907,0.4488193290726179,0.24373568465816295
2024-04-27,Wolverhampton Wanderers,Luton Town,extreme_cold,2.516767804574647,win,Home Win,0.4263363677101485,0.29259123578589236,0.28107239650395915
2024-04-27,West Ham United,Liverpool,normal_day,2.669299056945527,draw,Draw,0.3714720716988327,0.39773294341963056,0.2307949848815368
2024-04-27,West Ham United,Liverpool,heavy_rain,2.524202096836966,draw,Draw,0.1939637476889628,0.49550129502463375,0.3105349572864035
2024-04-27,West Ham United,Liverpool,extreme_cold,2.5712185729214294,loss,Away Win,0.2830978548327648,0.3399895752634994,0.37691256990373595
2024-04-27,Newcastle United,Sheffield United,normal_day,3.2935947249751476,win,Home Win,0.6714540076192457,0.24702332660527695,0.08152266577547743
2024-04-27,Newcastle United,Sheffield United,heavy_rain,3.5825642091450556,win,Home Win,0.45648950400632216,0.40069260072530166,0.14281789526837618
2024-04-27,Newcastle United,Sheffield United,extreme_cold,3.2900946101080364,win,Home Win,0.5977899008392923,0.24667997484218504,0.1555301243185227
