home_team,rain_flag,cold_flag,matches,avg_points,avg_goal_difference,avg_total_goals,avg_strength_proxy
Everton,1,0,31,1.5161290322580645,0.12903225806451613,2.193548387096774,1.1823655913978492
Everton,1,1,43,1.255813953488372,-0.23255813953488372,2.4651162790697674,1.132093023255814
Fulham,0,0,9,1.4444444444444444,-0.4444444444444444,3.3333333333333335,0.8422222222222222
Fulham,0,1,8,1.0,0.125,2.125,1.3325
Fulham,1,0,18,1.1666666666666667,-0.5,2.9444444444444446,1.2172222222222222
Fulham,1,1,22,1.1818181818181819,0.09090909090909091,2.3636363636363638,1.0245454545454544
Leeds United,0,0,5,1.8,0.4,3.6,0.9639999999999999
Leeds United,0,1,11,0.9090909090909091,-0.8181818181818182,2.272727272727273,1.2163636363636363
Leeds United,1,0,17,0.6470588235294118,-1.1764705882352942,3.0588235294117645,1.228235294117647
Leeds United,1,1,24,1.625,0.16666666666666666,3.0833333333333335,1.1824999999999999
Leicester City,0,0,10,2.0,1.0,3.2,1.1400000000000001
Leicester City,0,1,18,1.3333333333333333,0.1111111111111111,3.0,1.6055555555555554
Leicester City,1,0,21,1.5238095238095237,0.5238095238095238,2.4285714285714284,1.3298412698412698
Leicester City,1,1,27,1.5555555555555556,0.2222222222222222,3.185185185185185,1.633333333333333
Liverpool,0,0,13,2.3846153846153846,1.4615384615384615,2.8461538461538463,2.249230769230769
Liverpool,0,1,10,2.2,0.7,2.5,2.06
Liverpool,1,0,31,2.3548387096774195,1.4516129032258065,3.5161290322580645,2.0361290322580645
Liverpool,1,1,41,2.5121951219512195,1.829268292682927,3.2439024390243905,2.1717073170731704
Luton Town,0,0,2,0.5,-1.0,4.0,0.29499999999999993
Luton Town,0,1,3,2.3333333333333335,0.6666666666666666,2.0,0.7600000000000001
Luton Town,1,0,5,0.6,-0.6,2.6,0.7739999999999999
Luton Town,1,1,9,0.5555555555555556,-0.6666666666666666,4.222222222222222,1.1177777777777775
Manchester City,0,0,14,2.642857142857143,3.5,4.071428571428571,2.544285714285714
Manchester City,0,1,14,2.142857142857143,1.0714285714285714,3.0714285714285716,2.254285714285714
Manchester City,1,0,23,2.5217391304347827,2.217391304347826,4.043478260869565,2.373623188405797
Manchester City,1,1,44,2.477272727272727,1.7272727272727273,3.5,2.3327272727272725
Manchester United,0,0,8,1.5,0.125,3.125,1.57375
Manchester United,0,1,9,2.3333333333333335,1.3333333333333333,3.5555555555555554,1.848888888888889
Manchester United,1,0,37,1.837837837837838,0.5675675675675675,3.054054054054054,1.6281081081081081
Manchester United,1,1,41,2.024390243902439,0.926829268292683,2.731707317073171,1.699512195121951
Newcastle United,0,0,12,1.8333333333333333,0.9166666666666666,2.5833333333333335,1.54
Newcastle United,0,1,13,1.3846153846153846,-0.15384615384615385,3.076923076923077,1.0307692307692309
Newcastle United,1,0,27,1.5925925925925926,0.4074074074074074,3.074074074074074,1.4044444444444446
Newcastle United,1,1,43,1.744186046511628,0.46511627906976744,2.7906976744186047,1.409767441860465
